image_to_process;rgb_color;r;g;b;hex_color;actual_name;closest_name;closet_name_r;closet_name_g;closet_name_b
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/alkmaar-2008-2009-home.jpg;(185, 30, 35);185;30;35;#b91e23;;firebrick;178;34;34
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/alkmaar-2010-2011-away.jpg;(20, 20, 28);20;20;28;#14141c;;black;0;0;0
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/alkmaar-2010-2011-home.jpg;(218, 34, 38);218;34;38;#da2226;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/alkmaar-2012-2013-away.jpg;(72, 74, 73);72;74;73;#484a49;;darkslategrey;47;79;79
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/alkmaar-2012-2013-home.jpg;(216, 6, 49);216;6;49;#d80631;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/alkmaar-2013-2014-away.jpg;(31, 44, 64);31;44;64;#1f2c40;;darkslategrey;47;79;79
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/alkmaar-2013-2014-home.jpg;(230, 4, 50);230;4;50;#e60432;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/alkmaar-2016-2017-away.jpg;(1, 186, 241);1;186;241;#01baf1;;deepskyblue;0;191;255
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/alkmaar-2016-2017-home.jpg;(234, 5, 33);234;5;33;#ea0521;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/alkmaar-2017-2018-home.jpg;(194, 1, 37);194;1;37;#c20125;;firebrick;178;34;34
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/alnassr-2010-2011-away.jpg;(36, 47, 83);36;47;83;#242f53;;darkslategrey;47;79;79
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/alnassr-2010-2011-home.jpg;(249, 220, 66);249;220;66;#f9dc42;;sandybrown;244;164;96
